n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
137	476.4598	110.7449	262.2461	1000.316	314.9571	335.6605	354.5363	387.5526	410.6288	434.0933	456.4844	484.3594	513.6789	551.5768	617.1669	687.4344	733.692
138	473.9571	103.4581	276.1558	954.569	318.9702	340.4659	360.4858	389	408.7004	431.3073	458.6796	480.4342	506.6547	554.369	613.3457	668.8288	711.7528
139	479.8013	113.7612	269.5366	1045.917	315.4362	334.1586	359.7444	390.032	412.6984	430.7621	454.2642	486.0432	518.0463	562.4464	628.6907	702.3311	737.3208
140	489.108	114.7424	288.0816	1038.788	325.3014	350.0943	368.9065	402.1567	421.228	441.4318	461.3047	487.672	524.8019	569.3461	635.2425	714.0469	784.9541
141	485.7137	109.8925	260.4016	1066.843	315.0619	343.5593	364.0206	397.3349	422.2061	444.8955	465.5674	491.815	521.6225	563.2255	633.4027	696.6699	735.5712
142	499.4407	118.9448	265.7593	1038.728	324.3964	348.6531	370.4862	399.7524	426.4528	452.0642	476.4693	507.3145	534.9262	579.5895	660.5066	732.2541	768.2591
143	499.1751	114.1428	293.5149	1072.645	337.6626	353.7259	374.3127	405.3295	430.5102	454.9341	474.9747	502.2559	533.4848	582.0404	652.5902	713.155	779.3452
144	504.5618	116.9837	296.3225	1116.34	335.8839	349.1919	378.7347	408.1323	432.8244	461.0369	482.1753	512.3339	543.3194	588.0493	655.2549	728.5993	777.5198
145	508.956	116.7399	278.1061	1177.567	334.7118	356.8585	381.9463	417.532	441.9231	462.7904	484.1911	512.8236	545.1697	591.4491	675.0356	734.0538	775.8892
146	513.0921	119.9385	286.51	1047.936	348.4422	365.4997	384.0937	416.9652	439.329	462.9773	488.0943	514.9825	545.5841	601.961	680.7768	765.4606	790.0943
147	508.3141	115.1744	283.0071	1004.067	350.6822	369.2018	385.1818	412.9939	433.3451	457.2505	483.2515	515.1951	545.5868	599.0743	659.468	735.8098	784.7471
148	517.9846	112.958	300.0933	1097.457	348.1422	366.8406	388.8933	424.3607	447.2997	477.5845	503.8482	534.3276	560.9225	595.436	651.931	726.7868	769.4745
149	516.2019	116.757	295.9324	1278.087	345.4229	367.9225	386.5592	419.2982	449.1414	472.9757	490.3274	521.6685	552.2952	609.3103	674.8207	732.1837	769.2184
150	523.8624	124.9063	312.6068	1294.639	344.6825	369.7269	390.6571	424.0542	450.1322	476.8029	501.8964	528.0634	559.1297	603.9263	678.9543	754.6072	835.7835
151	526.0792	119.5972	303.3529	1066.495	343.6932	372.8579	400.1812	432.7563	458.3743	480.0927	501.417	527.3234	563.7579	604.2061	686.3563	765.1647	816.1507
152	533.0532	124.0225	287.4961	1250.229	355.2323	378.8311	407.0798	435.7866	459.0327	482.6738	510.9178	536.7877	568.0519	610.7053	700.7482	773.5612	829.8614
153	540.1935	125.7972	278.9803	1141.5	360.5371	382.9269	403.87	434.4007	466.7955	489.7836	518.9721	545.5099	576.8319	629.36	710.7468	779.2535	843.0012
154	547.8311	132.7315	303.6132	1283.003	349.3022	378.3887	402.5419	439.7852	469.3698	495.3019	524.6056	553.4221	589.314	641.665	723.1521	793.4116	851.8163
155	537.9146	133.3732	326.9113	1411.409	349.5983	375.4331	402.995	434.4606	460.4758	486.925	508.4644	532.4697	570.7513	626.4008	709.0042	794.7201	853.7933
156	550.6472	130.6121	307.7207	1285.365	364.1016	385.2506	410.5338	445.5379	472.1737	499.2014	527.3206	555.3476	588.1828	642.5761	726.6677	805.8852	848.5446
157	542.9965	119.3695	310.2902	1195.249	370.725	392.3124	410.5314	445.4402	470.5242	497.6274	519.2822	547.7499	580.9673	631.0372	702.9602	763.767	806.1228
158	549.5107	127.9826	313.9108	1213.157	361.7458	388.9036	414.5612	447.1487	472.4923	497.6354	527.3073	549.5071	581.7671	644.4269	722.2728	789.2642	843.939
159	571.3258	138.6664	325.6071	1265.142	373.6348	399.925	416.9053	456.3924	485.6666	516.3448	545.607	574.1968	617.35	667.4863	757.8912	835.0162	913.2147
160	560.0392	126.3785	315.9589	1166.818	372.9973	403.0968	428.1378	456.5643	484.3109	508.0226	535.3317	562.952	599.4589	650.5974	729.8993	811.9175	861.7117
161	567.0818	129.3002	306.5029	1148.496	380.698	399.0351	427.4599	461.1637	488.5673	512.5427	537.7983	572.4718	614.9081	667.7552	740.7942	823.4057	866.5102
162	575.3188	135.3046	334.1601	1197.977	376.3429	402.2077	432.6604	466.8993	493.2707	522.0575	554.222	581.768	620.3612	665.4743	751.7653	826.8017	912.4927
163	567.8809	129.7645	348.9527	1135.348	384.8129	404.8938	429.021	461.0965	491.8475	511.4372	538.9221	572.3548	612.5741	657.7157	748.0815	825.0703	873.2926
